551-IOU:0.8795235078573668,disc:0.9414888386272003,cup:0.8181299885974914
552-IOU:0.8832996817726816,disc:0.9803269061368308,cup:0.770759858929144
553-IOU:0.8512777863978052,disc:0.9738113399440631,cup:0.7028505614742298
554-IOU:0.8376546043645092,disc:0.8789576229907452,cup:0.791651673263764
555-IOU:0.8353534168209581,disc:0.9298787210584344,cup:0.7170289855072464
556-IOU:0.8085969734311759,disc:0.9521060949632378,cup:0.7574379149250061
557-IOU:0.8147712719159332,disc:0.9492993382639159,cup:0.6920813924981614
558-IOU:0.8845739090982406,disc:0.9673369120189246,cup:0.815063731170336
559-IOU:0.8477423302267467,disc:0.9767003035523832,cup:0.7365365365365365
560-IOU:0.771458648591891,disc:0.9566653242045913,cup:0.6443644691640765
561-IOU:0.9323335163561431,disc:0.966132630298114,cup:0.8936454849498328
562-IOU:0.8933983555050756,disc:0.9696308247129164,cup:0.8156873614190687
563-IOU:0.9188302958953573,disc:0.9465881397238017,cup:0.886058981233244
564-IOU:0.8615942996487514,disc:0.968351695830633,cup:0.7368604246432301
565-IOU:0.8772148956015157,disc:0.9821299638989169,cup:0.7672391017173051
566-IOU:0.826095054907578,disc:0.9607107923051842,cup:0.6860036832412523
567-IOU:0.8843283187768952,disc:0.9473048467461875,cup:0.8162393162393162
568-IOU:0.8543992100573522,disc:0.9531991860728013,cup:0.7559358288770054
569-IOU:0.8426427048143523,disc:0.9579469956924874,cup:0.7418876321157055
570-IOU:0.7832131189514494,disc:0.903207412687099,cup:0.6436579468014948
571-IOU:0.7502636400828114,disc:0.9214627561664008,cup:0.7034352347935707
572-IOU:0.8899623749156221,disc:0.9456881009615384,cup:0.8997264021887825
573-IOU:0.9171077584916151,disc:0.9826744996514986,cup:0.8372175141242938
574-IOU:0.8202513658750262,disc:0.9342346853613754,cup:0.687401986408782
575-IOU:0.7751283678473763,disc:0.9530088232378309,cup:0.5405884438142503
576-IOU:0.8455349091971153,disc:0.9383496075052652,cup:0.7260046496180671
577-IOU:0.8561802712224846,disc:0.9627168985461936,cup:0.8173315797164986
578-IOU:0.8826530211389652,disc:0.9472955190802688,cup:0.892647777234978
579-IOU:0.8107397432789026,disc:0.839863608183509,cup:0.8300801936752913
580-IOU:0.7968013055447177,disc:0.8813886852802025,cup:0.7569733394976114
581-IOU:0.8984842460195713,disc:0.9813745576457441,cup:0.847808764940239
582-IOU:0.8218924761614859,disc:0.9131473423769303,cup:0.7905179982440738
583-IOU:0.9067864426943658,disc:0.9598026676411474,cup:0.8584298584298584
584-IOU:0.8306079394499474,disc:0.957847196085811,cup:0.8164595331918764
585-IOU:0.82498983552462,disc:0.935054347826087,cup:0.7482922790312565
586-IOU:0.8535402885850832,disc:0.9811209934552777,cup:0.7665598290598291
587-IOU:0.9300333208990238,disc:0.968705035971223,cup:0.9256269818391467
588-IOU:0.9063546423005736,disc:0.9498763276589554,cup:0.9057358826144953
589-IOU:0.7084437465155919,disc:0.9062098923881923,cup:0.5954057058169693
590-IOU:0.8253184065246639,disc:0.9667891656458418,cup:0.7845870291441078
591-IOU:0.8532744245156542,disc:0.9236691452260315,cup:0.8402019650655022
592-IOU:0.8864129991581636,disc:0.9859505601991819,cup:0.8243268337975859
593-IOU:0.8781282864920419,disc:0.9736387886395732,cup:0.8289744809003011
